key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp.keys,key_resp_3.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,left,right,left_selected,right_selected,right_rew_dbl,left_rew_dbl,stim1,stim2,trigger_integer,block,trial_n,trial_id,right_rew,left_rew,typeOfChoice,correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.rt,key_resp_2.rt
,,,,right,0,58,58,58,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,63,48,3,2,32,4,59,599,6 3,4 8,4,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.158900001,
,,,,right,0,59,59,59,1,p_4.png,y_4.png,p_4_d.png,y_4_d.png,37,66,2,4,24,4,60,600,3 7,6 6,5,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.1272,
,,,,left,0,60,60,60,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,82,69,2,1,21,4,61,601,8 2,6 9,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.119400001,
,,,,right,0,61,61,61,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,66,35,3,2,32,4,62,602,6 6,3 5,4,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.625900001,
,,,,left,0,62,62,62,1,g_4.png,p_4.png,g_4_d.png,p_4_d.png,63,51,1,2,12,4,63,603,6 3,5 1,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.537599999,
,,,,left,0,63,63,63,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,50,69,3,2,32,4,64,604,5 0,6 9,4,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.333400001,
,,,,right,0,64,64,64,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,47,63,2,1,21,4,65,605,4 7,6 3,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.3678,
,,,,left,0,65,65,65,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,30,48,1,3,13,4,66,606,3 0,4 8,2,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.4025,
,,,,left,0,66,66,66,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,45,37,4,3,43,4,67,607,4 5,3 7,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.1563,
,,,,left,0,67,67,67,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,18,55,1,3,13,4,68,608,1 8,5 5,2,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.984400001,
,,,,left,0,68,68,68,1,y_4.png,p_4.png,y_4_d.png,p_4_d.png,62,33,4,2,42,4,69,609,6 2,3 3,5,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.4422,
,,,,left,0,69,69,69,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,12,54,2,3,23,4,70,610,1 2,5 4,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.2533,
,,,,left,0,70,70,70,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,28,59,1,3,13,4,71,611,2 8,5 9,2,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.7894,
,,,,left,0,71,71,71,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,86,38,4,1,41,4,72,612,8 6,3 8,3,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.3584,
,,,,left,0,72,72,72,1,b_4.png,g_4.png,b_4_d.png,g_4_d.png,45,39,3,1,31,4,73,613,4 5,3 9,2,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.7741,
,,,,right,0,73,73,73,1,g_4.png,b_4.png,g_4_d.png,b_4_d.png,27,63,1,3,13,4,74,614,2 7,6 3,2,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8392,
,,,,left,0,74,74,74,1,g_4.png,p_4.png,g_4_d.png,p_4_d.png,57,60,1,2,12,4,75,615,5 7,6 0,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.1817,
,,,,right,0,75,75,75,1,p_4.png,y_4.png,p_4_d.png,y_4_d.png,48,61,2,4,24,4,76,616,4 8,6 1,5,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.1854,
,,,,left,0,76,76,76,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,34,49,4,3,43,4,77,617,3 4,4 9,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.0306,
,,,,left,0,77,77,77,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,25,30,4,3,43,4,78,618,2 5,3 0,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.533400001,
,,,,left,0,78,78,78,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,73,54,2,3,23,4,79,619,7 3,5 4,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8833,
,,,,right,0,79,79,79,1,b_4.png,y_4.png,b_4_d.png,y_4_d.png,39,55,3,4,34,4,80,620,3 9,5 5,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.6673,
